Sent1,Sent2,SimScore
सचिवों ने जज को रोका।,The judge stopped the secretaries .,0.29
फेरी प्रतिक्रिया के लिए दक्षिण कोरिया के राष्ट्रपति क्षमा चाहते हैं,S. Korean president 'sorry' for ferry disaster,0.92
रेंजर्स ने डिवीजन थ्री में मतदान किया,Rangers voted into third division,0.96
"चूंकि प्रबंधक ने पर्यटक को सलाह दी थी, एथलीट पहुंचे।",The manager advised the tourist .,0.61
एथलीटों ने छात्रों का समर्थन किया।,"If the authors thanked the actor , the athletes supported the students .",0.42
वकील राष्ट्रपतियों को जानते थे।,The lawyers knew the presidents ran .,0.37
"सीनेटर ने प्रबंधकों को रोक दिया, और प्रोफेसरों ने लेखकों को धन्यवाद दिया।",The senator stopped the managers .,0.62
एक आदमी पानी में एक हैंडल को पकड़ता है।,A man is holding onto handles in the air.,0.64
प्रसिद्ध पर्यटकों ने वकीलों का उत्साहवर्धन किया।,Tourists encouraged the lawyers .,0.78
न्यायाधीशों ने बैंकर से परहेज किया।,The judges were avoided by the banker .,0.3
कुत्ता खेल का खिलौना अपने मालिक को लौटा देता है।,Three dogs race in the snow together.,0.2
जज ने प्रदर्शन किया।,"The judge performed , or the actors supported the lawyers .",0.5
"सचिव ने नृत्य किया, और एथलीट चिल्लाया।",The athlete shouted .,0.62
लेखकों ने सचिवों का समर्थन किया।,The authors behind the doctors supported the secretaries .,0.79
एक महिला नींबू काट रही है।,A man is showing a bread.,0.05
न्यायाधीश ने प्रोफेसरों के पीछे अभिनेता की सिफारिश की।,The judge recommended the actor .,0.79
डॉक्टर ने वैज्ञानिक को देखा।,Obviously the doctor saw the scientist .,0.88
लेखकों ने भुगतान किया।,The authors paid the scientist .,0.66
"""लेप्रेचुन मौजूद नहीं हैं"" - ठीक है।","""Elves don't exist"" - fine.",0.6
शायद जजों ने अभिनेताओं की मदद की।,The judges helped the actors .,0.53
यवेट कूपर ने समलैंगिक विवाह विधेयक का समर्थन किया,White House backs gay marriage,0.52
वकीलों ने प्रबंधकों का समर्थन किया।,The managers supported the lawyers next to the professor .,0.29
पर्यटकों ने बैंकरों पर विश्वास किया।,The tourists were believed by the bankers .,0.3
कलाकारों ने मैनेजर से संपर्क किया।,The artists were contacted by the manager .,0.3
वकील ने कलाकारों का समर्थन किया।,The lawyer supported the artists behind the authors .,0.79
वकीलों ने बैंकर को प्रोत्साहित किया।,The secretaries believed that the lawyers encouraged the banker .,0.43
कलाकारों के सामने डॉक्टर्स ने छात्र को टाल दिया।,The student avoided the doctors .,0.29
"गैस स्टेशनों के बाहर लंबी लाइनें लगी हुई हैं और लोग रविवार को नकद मशीनों से पैसा लेने के लिए दौड़ पड़े, क्योंकि इस्राइलियों ने देश को पंगु बनाने की धमकी देने वाली हड़ताल का सामना करने की तैयारी की थी।",Long lines formed Sunday outside gas stations and people rushed to get money from cash machines as Israelis braced for the strike's effects.,0.9
"जब तक अभिनेता सोए नहीं, लेखक ने प्रतीक्षा की।",The author waited .,0.42
यूरोपीय अंतरिक्ष एजेंसी के कार्यक्रम में शामिल होने के लिए यूक्रेन के पास लगभग सभी आवश्यक स्वीकृतियां हैं।,france is a leader in the european space agency.,0.32
न्यूयॉर्क और वाशिंगटन पर 11 सितंबर के आतंकवादी हमलों के बाद से यह इस तरह का पहला अभ्यास है।,It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.,0.8
लेखक को कलाकार पर विश्वास था।,The president near the author believed the artist .,0.26
आलू छीलती महिला।,A woman is peeling a potato.,1.0
एथलीट ने उस सीनेटर से परहेज किया जिसे राष्ट्रपतियों ने देखा था।,The athlete avoided the senator .,0.77
लाल और स्लेटी रंग की ट्रेन एक सुरंग से गुज़र रही है।,A red and gray train travels through a tunnel amongst the trees.,0.85
न्यायाधीशों ने प्रबंधकों का समर्थन किया।,The judges who helped the scientists supported the managers .,0.79
रूसी रेलवे स्टेशन पर आत्मघाती बम विस्फोट में 15 की मौत और सैकड़ों घायल,Suicide bomber kills 14 at Russian train station,0.64
सितारे कोरी मोंथिथ को श्रद्धांजलि देते हैं,Stars pay tribute to James Garner,0.44
मैनेजर ने खा लिया।,The manager ate the broccoli .,0.66
राष्ट्रपतियों ने वकील को पहचान लिया।,The doctor who the lawyer believed recognized the presidents .,0.29
खाद्य पदार्थों की कीमतों में बढ़ोतरी से ईरान में चिंता बढ़ी है,American Chris Horner wins Tour of Spain,0.0
एक लड़का नीले पूल के पानी में कूदता है।,The young boy is jumping into the pool on his belly.,0.6799999999999999
दूसरे हाफ में अर्जेंटीना के गुइलेर्मो कोरिया और नीदरलैंड के मार्टिन वेर्कर्क हैं।,The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.,0.6
ट्रैक पर बहुरंगी ट्रेन।,A mostly black train on a track.,0.5599999999999999
डरावनी फिल्म उड़ता पकड़े दो लड़कियां,Two girls holding sacks are standing in a field.,0.2799999999999999
पुलिस घातक एलए बोर्डवॉक दुर्घटना में व्यक्ति से पूछताछ करती है,Police arrest suspect in deadly LA driving attack,0.44
एथलीट ने अभिनेता की मदद की।,"If the athlete helped the actor , the artist advised the students .",0.45
एक महिला आलू छील रही है।,A woman is peeling an apple.,0.4
रूस ने अपने रासायनिक हथियारों के भंडार का 75% से अधिक नष्ट कर दिया,Britain Sees Evidence Assad Could Use Chemical Weapons,0.2
आदमी एक स्वचालित राइफल की शूटिंग कर रहा है।,A man is shooting a gun.,0.76
लोगों का एक समूह एक बड़े शहर के फुटपाथ पर चल रहा है।,A group of people are riding in the back of a truck.,0.2
