,Sent1,Sent2,SimScore
0,"U.S., EU Widen Sanctions On Russia","U.S., EU Boost Sanctions On Russia",1.0
1,The lawyers advised the judges .,The lawyers advised the judges behind the actors .,0.79
2,Man kills 4 in Calif. before police shoot him dead,Police: Gunman killed 6 in California shootings,0.4
3,Someone is playing a piano.,A man is playing a guitar.,0.24
4,"In an E-mail statement to the Knoxville News Sentinel, Shumaker said, ''I am not giving any consideration to resignation.","I am not giving any consideration to resignation,"" Shumaker said in a statement.",0.8
5,The secretaries supported the managers presented in the library .,The managers presented in the library .,0.59
6,The author saw the manager .,"Before the lawyer helped the banker , the author saw the manager .",0.78
7,The student and the senator supported the doctor .,The senator supported the student .,0.29
8,The managers contacted the students paid in the library .,The students paid in the library .,0.59
9,A man is spinning.,A man is dancing.,0.32
10,china is an important force for safeguarding world peace. ,china is an important force for promoting world development.,0.6799999999999999
11,The tourist next to the professors shouted .,The professors shouted .,0.26
12,Two green and white trains sitting on the tracks.,Two green and white trains on tracks.,0.8800000000000001
13,The banker arrived .,Of course the banker arrived .,0.88
14,China sets Bo Xilai trial date,China Bo Xilai trial in fourth day,0.64
15,"Judge Leroy Millette Jr. can reduce the punishment to life in prison without parole when Muhammad is formally sentenced Feb. 12, but Virginia judges rarely take such action.","Though the judge can reduce the punishment to life in prison without parole, experts say Virginia judges rarely take that opportunity.",0.65
16,AOL says to sell 800 patents to Microsoft for $1.0 bn,AOL to sell 800 patents to Microsoft for $1 billion,0.96
17,A woman is picking tomatoes.,A woman is pouring batter into a bowl.,0.2
18,The tourist paid the author .,Although the tourist paid the author mentioned the artists .,0.23
19,The managers helped the senator .,The managers that believed the tourist helped the senator .,0.79
20,"It was the best advance since Oct. 1, when the index gained 22.25.","Standard & Poor's 500 index rose 15.66 to 1,046.79, its best advance since Oct. 1, when it gained 22.25.",0.6
21,The manager was believed by the presidents .,The presidents believed the manager .,1.0
22,"If the manager ran , the judges helped the professors .",The judges helped the professors .,0.42
23,The lawyers recognized the tourists and the athletes .,The lawyers recognized the tourists .,0.73
24,PCB appoints Waqar Younis as head coach,Waqar Younis back as Pakistan coach,1.0
25,The judges avoided the athletes .,Without a doubt the judges avoided the athletes .,0.88
26,Gunmen kill 10 foreign tourists in northern Pakistan,"Islamic militants kill 9 foreign tourists, 1 Pakistani",0.52
27,putin stated that the russian government could withdraw from the treaty altogether if western nations refuse to ratify the amended treaty. ,putin stated that russia could discard the treaty entirely if western nations refuse to ratify its amended version.,1.0
28,The lawyer called the authors .,The authors and the lawyer called the actor .,0.29
29,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""",0.76
30,UK vote rejects military action,Britain rejects Syria military action,0.6799999999999999
31,A man is scalling a sheer rock face with a rope support.,A young man is doing a ski jump with a purple board.,0.08
32,Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.,Schools that don't meet the testing goals for two years in a row must offer transfers.,0.55
33,The scientists waited .,The doctors that called the scientists waited .,0.31
34,The senators admired the professors .,The professors that the senators admired advised the judge .,0.65
35,The settlement includes $4.1 million in attorneys' fees and expenses.,Plaintiffs' attorneys would get $4.1 million of the settlement.,0.9
36,Chairman of easyJet to step down,Chairman of British no-frills airline easyJet to step down,0.8400000000000001
37,The authors introduced the scientists .,The authors introduced the scientists that performed .,0.77
38,A person is adding oil in the pan.,The cook pouring oil into the pan.,0.85
39,"Im very proud of the citizens of this state, said Gov. John Baldacci, a casino foe.","""I´m very proud of the citizens of this state,"" Gov. John Baldacci said after votes from Tuesday´s referendum were counted.",0.76
40,The scientists mentioned the senators .,The artists helped the scientists who mentioned the senators .,0.65
41,Honduran ambassador to Colombia sacked after wild party,Honduras ambassador resigns after alleged embassy orgy,0.72
42,Both devices implement the v1.2 standard's eSCO facility to provide the basis for new cordless telephony applications.,BlueCore3 also implements v1.2's eSCO facility to provide the basis for advanced cordless telephony applications for Bluetooth transmission.,0.65
43,"Delhi Gang Rape Suspect 'Beaten, Poisoned'",Delhi gang-rape verdict deferred again,0.36
44,"Bombs in southern Thailand kill 5, wound 50","Bombs in Thailand kill 14, wound 340",0.6
45,The banker helped the scientists .,The scientists helped the banker that advised the author .,0.29
46,Landon And So This is Christmas We are all vessels filled with many wonders.,Play With Fire We are all vessels filled with many wonders.,0.36
47,A girl is eating a cupcake.,A man is slicing a cucumber.,0.0
48,The presidents moved the scientist .,Because the presidents moved the scientist thanked the athletes .,0.23
49,The secretary resigned .,The professor by the secretary resigned .,0.26
50,"Another big gainer was Rambus Inc. (nasdaq: RMBS - news - people), which shot 32 percent higher.","Rambus Inc. (nasdaq: RMBS - news - people) shot up 38 percent, making it the biggest percentage gainer on the Nasdaq.",0.6
51,Before the managers presented the banker mentioned the authors .,The managers presented the banker .,0.23
